Date,Open,High,Low,Close,Adj Close,Volume,SMA 5.0,SMA 10.0,SMA 20.0,SMA 30.0,SMA 50.0,SMA 100.0,SMA 200.0,EMA 5.0,EMA 12.0,EMA 26.0,EMA 30.0,EMA 50.0,EMA 100.0,EMA 200.0,RSI 7.0,RSI 14.0,RSI 28.0,MACD 265,MACD Signal 5265,MACD Signal 9265,MACD 2612,MACD Signal 52612,MACD Signal 92612,MACD 355,MACD Signal 5355,MACD Signal 9355,MACD 3512,MACD Signal 53512,MACD Signal 93512,SO 7,%D 3-7,SO 14,%D 3-14,SO 28,%D 3-28
2020-01-01,7194.89208984375,7254.33056640625,7174.9443359375,7200.17431640625,7200.17431640625,18565664997,7285.48,7290.98,7221.53,7275.28,7495.19,8031.04,9300.89,7253.03,7268.52,7329.63,7363.41,7572.19,8041.65,8224.24,43.49,45.18,43.99,-76.6,-61.11,-79.61,-61.11,-66.86,-85.23,-158.22,-149.24,-176.05,-142.73,-154.98,-181.67,8.83,15.19,25.83,50.62,54.86,57.25
2020-01-02,7202.55126953125,7212.1552734375,6935.27001953125,6985.47021484375,6985.47021484375,20802083465,7218.98,7253.96,7207.32,7264.12,7458.74,8014.69,9290.84,7163.84,7224.97,7304.14,7339.03,7549.18,8020.73,8211.91,30.99,39.27,41.48,-140.3,-87.51,-91.75,-79.17,-70.96,-84.02,-223.76,-174.08,-185.59,-162.63,-157.53,-177.86,8.67,8.14,6.96,30.45,39.91,49.69
2020-01-03,6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,7344.88427734375,28111481032,7203.42,7256.2,7218.33,7267.22,7431.47,8003.27,9280.97,7224.19,7243.42,7307.16,7339.41,7541.17,8007.35,8203.29,55.8,50.86,46.75,-82.97,-85.99,-89.99,-63.74,-68.55,-79.96,-161.04,-169.73,-180.68,-141.81,-152.29,-170.65,71.77,29.76,58.0,30.26,72.11,55.63
2020-01-04,7345.37548828125,7427.3857421875,7309.51416015625,7410.65673828125,7410.65673828125,18444271275,7226.96,7269.75,7231.25,7265.96,7409.84,7996.18,9272.61,7286.35,7269.15,7314.82,7344.0,7536.05,7995.53,8195.4,58.95,52.64,47.64,-28.47,-66.82,-77.69,-45.67,-60.93,-73.1,-100.29,-146.58,-164.6,-117.49,-140.69,-160.02,82.75,54.4,66.87,43.94,78.0,63.34
2020-01-05,7410.45166015625,7544.4970703125,7400.53564453125,7411.3173828125,7411.3173828125,19725074095,7270.5,7286.98,7255.19,7261.44,7387.06,7987.78,9263.3,7328.0,7291.02,7321.97,7348.35,7531.16,7983.97,8187.6,58.98,52.66,47.65,6.03,-42.54,-60.95,-30.95,-50.93,-64.67,-60.01,-117.73,-143.68,-96.99,-126.12,-147.41,78.84,77.79,66.96,63.94,78.06,76.06
2020-01-06,7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,7769.21923828125,23276261598,7384.31,7334.9,7311.63,7268.54,7370.88,7983.01,9254.51,7475.08,7364.59,7355.1,7375.5,7540.49,7979.71,8183.43,73.15,61.47,52.34,119.98,11.64,-24.76,9.49,-30.79,-49.84,65.89,-56.52,-101.77,-44.6,-98.95,-126.85,98.54,86.71,98.54,77.46,98.98,85.01
2020-01-07,7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,8163.6923828125,28767291327,7619.95,7419.47,7355.97,7288.52,7367.97,7983.61,9244.6,7704.61,7487.53,7415.0,7426.35,7564.93,7983.36,8183.24,81.41,68.44,56.76,289.61,104.29,38.11,72.53,3.65,-25.37,253.51,46.82,-30.71,36.43,-53.82,-94.19,98.85,92.08,98.85,88.12,99.11,92.05
2020-01-08,8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,8079.86279296875,31672559265,7766.95,7485.19,7399.82,7311.15,7365.44,7981.47,9231.5,7829.7,7578.66,7464.25,7468.51,7585.13,7985.27,8182.21,75.64,65.72,55.62,365.45,191.35,103.58,114.41,40.57,2.59,343.66,145.77,44.16,92.62,-5.01,-56.83,78.61,92.0,78.61,92.0,82.93,93.67
2020-01-09,8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,7879.0712890625,24045990466,7860.63,7543.79,7432.84,7331.18,7362.48,7976.82,9216.61,7846.15,7624.87,7494.97,7495.0,7596.65,7983.16,8179.19,63.14,59.61,52.98,351.18,244.62,153.1,129.9,70.35,28.05,338.28,209.94,102.99,117.0,35.66,-22.06,65.06,80.84,65.06,80.84,72.12,84.72
2020-01-10,7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,8166.55419921875,28714583844,8011.68,7641.09,7481.61,7362.82,7372.95,7974.56,9202.39,7952.95,7708.21,7544.72,7538.33,7619.0,7986.8,8179.07,71.11,64.67,56.08,408.23,299.16,204.13,163.49,101.39,55.14,408.49,276.12,164.09,163.75,78.36,15.1,78.83,74.17,84.46,76.04,87.6,80.88
