Datetime,Open,High,Low,Close,Adj Close,Volume,SMA 5.0,SMA 10.0,SMA 20.0,SMA 30.0,SMA 50.0,SMA 100.0,SMA 200.0,EMA 5.0,EMA 12.0,EMA 26.0,EMA 30.0,EMA 50.0,EMA 100.0,EMA 200.0,RSI 7.0,RSI 14.0,RSI 28.0,MACD 265,MACD Signal 5265,MACD Signal 9265,MACD 2612,MACD Signal 52612,MACD Signal 92612,MACD 355,MACD Signal 5355,MACD Signal 9355,MACD 3512,MACD Signal 53512,MACD Signal 93512,SO 7,%D 3-7,SO 14,%D 3-14,SO 28,%D 3-28
2021-03-22 08:00:00,57763.78515625,57763.78515625,57697.59375,57697.59375,57697.59375,0,57768.08,57830.57,57839.96,57816.23,57765.0,57414.93,57519.98,57763.16,57801.68,57792.93,57781.67,57713.0,57597.34,57533.02,34.32,43.63,50.02,-29.77,5.95,26.57,8.75,25.08,34.92,-2.08,39.03,62.99,36.44,58.17,71.34,0.0,7.85,0.0,10.81,28.51,41.37
2021-03-22 08:05:00,57697.85546875,57697.85546875,57674.06640625,57674.8984375,57674.8984375,0,57742.37,57812.08,57827.73,57819.3,57765.1,57416.46,57520.92,57733.74,57782.17,57784.19,57774.78,57711.5,57598.88,57534.43,32.17,42.31,49.28,-50.45,-12.85,11.16,-2.02,16.05,27.53,-26.48,17.2,45.1,21.95,46.1,61.46,0.4,7.98,0.31,7.9,0.29,25.73
2021-03-22 08:10:00,57654.125,57659.43359375,57643.43359375,57659.43359375,57659.43359375,0,57707.33,57786.63,57817.49,57821.07,57765.03,57417.83,57521.79,57708.97,57763.29,57774.95,57767.34,57709.46,57600.08,57535.67,30.63,41.39,48.77,-65.98,-30.56,-4.27,-11.66,6.81,19.69,-45.65,-3.75,26.95,8.67,33.62,50.91,7.5,2.63,5.41,1.91,5.02,11.27
2021-03-22 08:15:00,57650.2265625,57765.26953125,57650.2265625,57765.26953125,57765.26953125,131121152,57713.51,57769.28,57813.86,57823.99,57767.4,57420.32,57523.6,57727.74,57763.6,57774.23,57767.2,57711.65,57603.35,57537.96,49.74,49.48,52.27,-46.49,-35.87,-12.71,-10.63,1.0,13.63,-27.47,-11.66,16.06,8.39,25.21,42.4,59.5,22.47,41.18,15.63,38.22,14.51
2021-03-22 08:20:00,57774.0234375,57776.94921875,57736.50390625,57736.50390625,57736.50390625,0,57706.74,57754.03,57807.11,57820.89,57767.73,57423.47,57525.24,57730.66,57759.43,57771.44,57765.22,57712.62,57605.99,57539.93,45.74,47.55,51.29,-40.78,-37.51,-18.32,-12.01,-3.34,8.5,-23.52,-15.61,8.15,5.25,18.56,34.97,45.45,37.48,31.46,26.02,29.19,24.14
2021-03-22 08:25:00,57709.73046875,57709.73046875,57623.359375,57623.359375,57623.359375,0,57691.89,57729.99,57790.73,57817.07,57763.28,57427.07,57526.39,57694.89,57738.49,57760.47,57756.07,57709.12,57606.33,57540.76,33.42,40.84,47.62,-65.58,-46.86,-27.78,-21.98,-9.55,2.4,-52.02,-27.75,-3.89,-8.42,9.56,26.29,0.0,34.98,0.0,24.21,0.0,22.47
2021-03-22 08:30:00,57617.66015625,57621.09765625,57605.75,57605.82421875,57605.82421875,57434112,57678.08,57710.22,57776.33,57807.94,57758.02,57429.85,57527.81,57665.2,57718.08,57749.01,57746.38,57705.07,57606.32,57541.41,31.87,39.9,47.07,-83.81,-59.18,-38.98,-30.93,-16.68,-4.26,-73.87,-43.12,-17.88,-20.99,-0.62,16.84,0.04,15.16,0.02,10.49,0.02,9.74
2021-03-22 08:35:00,57615.203125,57620.03515625,57601.2265625,57601.2265625,57601.2265625,327680,57666.44,57686.88,57762.72,57797.59,57752.7,57432.09,57529.24,57643.88,57700.1,57738.07,57737.01,57701.0,57606.22,57542.0,31.43,39.64,46.93,-94.19,-70.85,-50.02,-37.97,-23.78,-11.0,-87.53,-57.92,-31.81,-31.31,-10.85,7.21,0.0,0.01,0.0,0.01,0.0,0.01
2021-03-22 08:40:00,57541.47265625,57541.47265625,57412.73046875,57413.14453125,57413.14453125,0,57596.01,57654.76,57742.57,57782.74,57743.86,57432.75,57530.65,57566.96,57655.96,57714.0,57716.12,57689.71,57602.4,57540.72,18.84,30.86,41.5,-147.04,-96.25,-69.43,-58.04,-35.2,-20.41,-146.77,-87.54,-54.8,-57.77,-26.49,-5.79,0.11,0.05,0.09,0.04,0.07,0.03
2021-03-22 08:45:00,57395.82421875,57435.625,57395.82421875,57435.625,57435.625,83513344,57535.83,57621.29,57728.19,57770.44,57736.66,57434.98,57532.05,57523.18,57622.06,57693.38,57698.02,57679.75,57599.09,57539.68,23.13,32.78,42.33,-170.2,-120.9,-89.58,-71.32,-47.24,-30.59,-175.1,-116.73,-78.86,-76.22,-43.07,-19.87,10.44,3.52,8.63,2.91,7.03,2.37
