,MSFT,MSFT,MSFT,MSFT,MSFT
,open,high,low,close,volume
time,,,,,
2021-03-25 14:20:00-04:00,231.91,232.07,231.9,232.0,2496
2021-03-25 14:21:00-04:00,231.95,231.97,231.95,231.96,796
2021-03-25 14:22:00-04:00,231.91,232.01,231.905,231.905,1147
2021-03-25 14:23:00-04:00,231.81,231.89,231.81,231.89,1089
2021-03-25 14:24:00-04:00,231.85,231.925,231.85,231.925,406
2021-03-25 14:25:00-04:00,231.87,231.87,231.81,231.84,1633
2021-03-25 14:26:00-04:00,231.91,231.975,231.9,231.9,585
2021-03-25 14:27:00-04:00,231.83,231.83,231.76,231.81,3060
2021-03-25 14:28:00-04:00,231.8,231.85,231.75,231.75,1252
2021-03-25 14:29:00-04:00,231.695,231.765,231.69,231.765,1026
2021-03-25 14:30:00-04:00,231.775,231.82,231.755,231.82,1717
2021-03-25 14:31:00-04:00,231.78,231.87,231.78,231.85,1027
2021-03-25 14:32:00-04:00,231.83,231.84,231.785,231.81,1582
2021-03-25 14:33:00-04:00,231.9,231.9,231.825,231.88,1544
2021-03-25 14:34:00-04:00,231.905,231.905,231.86,231.86,888
2021-03-25 14:35:00-04:00,231.87,232.27,231.87,232.21,2973
2021-03-25 14:36:00-04:00,232.22,232.34,232.22,232.34,2003
2021-03-25 14:37:00-04:00,232.29,232.37,232.29,232.33,1295
2021-03-25 14:38:00-04:00,232.36,232.4,232.33,232.35,1952
2021-03-25 14:39:00-04:00,232.4,232.4,232.31,232.31,572
2021-03-25 14:40:00-04:00,232.27,232.35,232.265,232.35,1281
2021-03-25 14:41:00-04:00,232.355,232.355,232.29,232.29,1103
2021-03-25 14:42:00-04:00,232.34,232.35,232.34,232.35,286
2021-03-25 14:43:00-04:00,232.36,232.36,232.27,232.285,676
2021-03-25 14:44:00-04:00,232.28,232.28,232.21,232.24,1163
2021-03-25 14:45:00-04:00,232.28,232.37,232.23,232.37,1835
