Datetime,Open,High,Low,Close,Adj Close,Volume,SMA 5.0,SMA 10.0,SMA 20.0,SMA 30.0,SMA 50.0,SMA 100.0,SMA 200.0,SMA 300.0,EMA 5.0,EMA 12.0,EMA 26.0,EMA 30.0,EMA 50.0,EMA 100.0,EMA 200.0,EMA 300.0,RSI 7.0,RSI 14.0,RSI 28.0,MACD 265,MACD Signal 5265,MACD Signal 9265,MACD 2612,MACD Signal 52612,MACD Signal 92612,MACD 355,MACD Signal 5355,MACD Signal 9355,MACD 3512,MACD Signal 53512,MACD Signal 93512,SO 7,%D 3-7,SO 14,%D 3-14,SO 28,%D 3-28
2021-03-15 09:30:00,53.52000045776367,53.91999816894531,53.459999084472656,53.900001525878906,53.900001525878906,239813,53.43,53.32,53.22,53.11,52.88,52.35,51.62,50.82,53.49,53.34,53.16,53.12,52.91,52.45,51.65,50.93,81.06,77.38,74.04,0.33,0.24,0.23,0.18,0.16,0.15,0.42,0.33,0.32,0.27,0.24,0.24,97.56,66.75,97.65,66.78,98.21,81.68
2021-03-15 09:35:00,53.91999816894531,53.93000030517578,53.5,53.68999862670898,53.68999862670898,104217,53.5,53.37,53.27,53.14,52.9,52.38,51.63,50.84,53.55,53.39,53.2,53.16,52.94,52.47,51.67,50.95,66.09,67.06,67.49,0.35,0.28,0.26,0.19,0.17,0.16,0.45,0.37,0.35,0.29,0.26,0.25,68.83,68.08,72.09,69.19,78.76,80.71
2021-03-15 09:40:00,53.709999084472656,53.84000015258789,53.68000030517578,53.720001220703125,53.720001220703125,94077,53.57,53.42,53.31,53.17,52.93,52.41,51.65,50.85,53.61,53.44,53.24,53.19,52.97,52.5,51.69,50.96,67.1,67.72,67.91,0.37,0.31,0.28,0.2,0.18,0.17,0.48,0.41,0.37,0.31,0.28,0.26,72.73,79.71,75.58,81.77,81.42,86.13
2021-03-15 09:45:00,53.709999084472656,53.81999969482422,53.52000045776367,53.63999938964844,53.63999938964844,92697,53.63,53.48,53.34,53.2,52.95,52.43,51.67,50.87,53.62,53.47,53.27,53.22,53.0,52.52,51.71,50.98,61.4,64.03,65.56,0.35,0.32,0.29,0.2,0.19,0.17,0.46,0.43,0.39,0.31,0.29,0.27,62.34,67.97,66.28,71.32,74.34,78.17
2021-03-15 09:50:00,53.61000061035156,53.630001068115234,53.43999862670898,53.52000045776367,53.52000045776367,75942,53.69,53.51,53.35,53.21,52.97,52.46,51.68,50.89,53.59,53.48,53.29,53.24,53.02,52.54,51.73,51.0,53.45,58.84,62.22,0.3,0.32,0.29,0.19,0.19,0.18,0.41,0.42,0.4,0.3,0.29,0.28,46.75,60.61,52.33,64.73,63.72,73.16
2021-03-15 09:55:00,53.540000915527344,53.97999954223633,53.540000915527344,53.970001220703125,53.970001220703125,101916,53.71,53.57,53.39,53.25,53.0,52.49,51.7,50.9,53.71,53.56,53.34,53.29,53.06,52.57,51.75,51.02,70.28,68.99,68.47,0.37,0.33,0.31,0.22,0.2,0.19,0.48,0.44,0.41,0.33,0.3,0.29,98.78,69.29,98.9,72.5,99.15,79.07
2021-03-15 10:00:00,53.970001220703125,54.0099983215332,53.910099029541016,53.959999084472656,53.959999084472656,170960,53.76,53.63,53.43,53.29,53.03,52.52,51.72,50.92,53.8,53.62,53.39,53.33,53.09,52.6,51.78,51.04,69.63,68.58,68.21,0.41,0.36,0.33,0.23,0.21,0.19,0.53,0.47,0.44,0.35,0.32,0.3,91.23,78.92,94.68,81.97,95.87,86.25
2021-03-15 10:05:00,53.970001220703125,54.02000045776367,53.77999877929688,53.790000915527344,53.790000915527344,83226,53.78,53.67,53.46,53.32,53.06,52.54,51.74,50.94,53.79,53.64,53.42,53.36,53.12,52.62,51.8,51.06,58.8,61.93,63.93,0.37,0.36,0.34,0.22,0.21,0.2,0.49,0.48,0.45,0.34,0.33,0.31,60.34,83.45,75.0,89.53,81.15,92.06
2021-03-15 10:10:00,53.810001373291016,53.97499847412109,53.78499984741211,53.96500015258789,53.96500015258789,61247,53.84,53.74,53.5,53.35,53.09,52.57,51.75,50.96,53.85,53.69,53.46,53.4,53.15,52.65,51.82,51.08,65.44,65.72,66.25,0.39,0.37,0.35,0.23,0.22,0.21,0.52,0.49,0.46,0.36,0.34,0.32,91.38,80.98,94.19,87.96,95.9,90.97
2021-03-15 10:15:00,53.97999954223633,54.04999923706055,53.95000076293945,54.03950119018555,54.03950119018555,86404,53.95,53.82,53.54,53.39,53.12,52.6,51.77,50.97,53.92,53.75,53.5,53.44,53.19,52.67,51.84,51.1,67.79,67.09,67.11,0.42,0.39,0.36,0.25,0.23,0.21,0.55,0.51,0.48,0.38,0.35,0.33,98.36,83.36,98.88,89.36,99.19,92.08
