Date,Open,High,Low,Close,Adj Close,Volume,SMA 5.0,SMA 10.0,SMA 20.0,SMA 30.0,SMA 50.0,SMA 100.0,SMA 200.0,EMA 5.0,EMA 12.0,EMA 26.0,EMA 30.0,EMA 50.0,EMA 100.0,EMA 200.0,RSI 7.0,RSI 14.0,RSI 28.0,MACD 265,MACD Signal 5265,MACD Signal 9265,MACD 2612,MACD Signal 52612,MACD Signal 92612,MACD 355,MACD Signal 5355,MACD Signal 9355,MACD 3512,MACD Signal 53512,MACD Signal 93512,SO 7,%D 3-7,SO 14,%D 3-14,SO 28,%D 3-28
2020-03-23,137.00999450683594,140.57000732421875,132.52000427246094,135.97999572753906,134.61207580566406,78975200,140.6,145.09,154.78,164.36,166.38,159.07,148.11,139.99,146.8,155.71,157.09,159.95,157.61,148.69,37.62,39.24,41.78,-15.72,-14.76,-13.28,-8.91,-8.01,-6.88,-18.34,-16.84,-14.8,-11.53,-10.08,-8.4,11.77,16.38,9.02,11.39,6.22,8.09
2020-03-24,143.75,149.60000610351562,141.27000427246094,148.33999633789062,146.84771728515625,82516700,140.96,143.83,153.79,163.02,166.12,159.13,148.2,142.77,147.04,155.16,156.53,159.49,157.43,148.69,50.55,46.34,46.31,-12.39,-13.97,-13.1,-8.12,-8.05,-7.13,-15.0,-16.23,-14.84,-10.73,-10.3,-8.87,89.73,36.74,41.25,18.71,28.42,12.95
2020-03-25,148.91000366210938,154.3300018310547,144.44000244140625,146.9199981689453,145.4420166015625,75638200,142.26,143.16,152.63,161.77,165.79,159.15,148.27,144.16,147.02,154.55,155.91,159.0,157.22,148.67,49.19,45.68,45.89,-10.39,-12.78,-12.56,-7.53,-7.87,-7.21,-13.01,-15.15,-14.47,-10.15,-10.25,-9.12,66.02,55.84,47.07,32.45,25.87,20.17
2020-03-26,148.39999389648438,156.66000366210938,148.3699951171875,156.11000061035156,154.53956604003906,64568100,144.94,144.86,152.53,160.81,165.67,159.28,148.39,148.14,148.42,154.67,155.92,158.89,157.2,148.74,57.8,50.58,49.03,-6.53,-10.7,-11.35,-6.25,-7.33,-7.02,-8.97,-13.09,-13.37,-8.69,-9.73,-9.04,97.72,84.49,80.27,56.2,42.38,32.22
2020-03-27,151.75,154.88999938964844,149.1999969482422,149.6999969482422,148.1940460205078,57042300,147.41,143.95,151.91,159.68,165.4,159.34,148.48,148.66,148.61,154.3,155.52,158.53,157.05,148.75,50.79,47.37,47.05,-5.64,-9.01,-10.21,-5.69,-6.79,-6.75,-8.04,-11.41,-12.31,-8.09,-9.18,-8.85,71.17,78.3,58.46,61.93,30.87,33.04
2020-03-30,152.44000244140625,160.60000610351562,150.00999450683594,160.22999572753906,158.6181182861328,63420300,152.26,146.43,151.28,158.84,165.28,159.5,148.62,152.52,150.4,154.74,155.82,158.59,157.11,148.87,60.07,52.69,50.45,-2.22,-6.75,-8.61,-4.34,-5.97,-6.27,-4.38,-9.07,-10.72,-6.5,-8.29,-8.38,98.68,89.19,94.28,77.67,50.63,41.29
2020-03-31,159.39999389648438,164.77999877929688,156.55999755859375,157.7100067138672,156.12347412109375,77927200,154.13,147.55,150.94,157.86,165.09,159.63,148.75,154.25,151.53,154.96,155.94,158.56,157.12,148.95,57.07,51.35,49.66,-0.71,-4.73,-7.03,-3.43,-5.12,-5.7,-2.69,-6.94,-9.12,-5.41,-7.33,-7.78,78.08,82.64,78.08,76.94,49.41,43.64
2020-04-01,153.0,157.75,150.82000732421875,152.11000061035156,150.57980346679688,57969900,155.17,148.72,150.02,156.69,164.8,159.71,148.84,153.54,151.62,154.75,155.7,158.31,157.02,148.99,50.52,48.41,47.93,-1.21,-3.56,-5.87,-3.13,-4.46,-5.19,-3.13,-5.67,-7.92,-5.05,-6.57,-7.24,46.11,74.29,60.73,77.7,46.12,48.72
2020-04-02,151.86000061035156,155.47999572753906,150.36000061035156,155.25999450683594,153.6981201171875,49630700,155.0,149.97,149.47,155.72,164.6,159.82,148.94,154.11,152.18,154.78,155.67,158.19,156.99,149.05,53.98,50.14,48.97,-0.67,-2.6,-4.83,-2.6,-3.84,-4.67,-2.49,-4.61,-6.83,-4.42,-5.85,-6.67,53.2,59.13,70.49,69.77,53.53,49.69
2020-04-03,155.10000610351562,157.3800048828125,152.19000244140625,153.8300018310547,152.28250122070312,41243300,155.83,151.62,149.08,154.89,164.34,159.9,149.04,154.02,152.43,154.71,155.55,158.02,156.93,149.1,52.05,49.33,48.51,-0.69,-1.96,-4.0,-2.28,-3.32,-4.19,-2.42,-3.88,-5.95,-4.01,-5.24,-6.14,33.27,44.19,66.06,65.76,50.16,49.94
2020-04-06,160.32000732421875,166.5,157.5800018310547,165.27000427246094,163.607421875,67111700,156.84,154.55,149.82,154.7,164.34,160.09,149.18,157.77,154.41,155.5,156.18,158.3,157.09,149.26,64.05,55.51,52.2,2.27,-0.55,-2.75,-1.09,-2.58,-3.57,0.84,-2.31,-4.59,-2.52,-4.33,-5.42,92.89,59.79,96.38,77.64,77.1,60.26
